dma_name,principal_city,hardness_mgl,demand_t1,demand_t2,demand_t3,demand_t4,population,median_income,hardness_source,precision_flag
"Lafayette, LA",Lafayette,140,,,,,613025,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Lake Charles, LA",Lake Charles,140,,,,,242925,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Lansing, MI",Lansing,120,,,,,664575,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Laredo, TX",Laredo,250,,,,,211875,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Las Vegas, NV",Las Vegas,278,,,,,2241150,76000,https://www.lvvwd.com/water-quality/hardness/index.html,precise
"Lexington, KY",Lexington,140,,,,,1294150,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Lima, OH",Lima,130,,,,,174075,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Lincoln & Hastings-Kearney, NE",Lincoln & Hastings,210,,,,,741250,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Little Rock-Pine Bluff, AR",Little Rock,25,,,,,1477450,66000,https://carkw.com/water-quality/,approximate
"Los Angeles, CA",Los Angeles,195,,,,,14589475,92000,https://dropconnect.com/water-hardness-in-california-cities/,precise
"Louisville, KY",Louisville,159,,,,,1755775,71000,https://louisvilleky.gov/news/pure-tap-pure-quality,precise
"Lubbock, TX",Lubbock,201,,,,,441025,,https://dropconnect.com/blogs/articles/water-hardness-in-texas-cities,approximate
"Macon, GA",Macon,130,,,,,646000,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Madison, WI",Madison,140,,,,,1108050,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Mankato, MN",Mankato,225,,,,,140475,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Marquette, MI",Marquette,120,,,,,223875,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Medford-Klamath Falls, OR",Medford,70,,,,,442475,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Memphis, TN",Memphis,55,,,,,1665750,65000,https://www.mlgw.com/residential/waterquality,approximate
"Meridian, MS",Meridian,115,,,,,161650,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Miami-Fort Lauderdale, FL",Miami,100,,,,,4392300,76000,https://www.miamidade.gov/global/water/water-quality-reports.page,approximate
"Milwaukee, WI",Milwaukee,140,,,,,2362250,75000,https://city.milwaukee.gov/water/WaterQuality,approximate
"Minneapolis-St. Paul, MN",Minneapolis,90,,,,,4716700,96000,https://www.minneapolismn.gov/government/departments/public-works/water-treatment/,approximate
"Minot-Bismarck-Dickinson(Williston), ND",Minot,130,,,,,409650,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Missoula, MT",Missoula,95,,,,,345750,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Mobile, AL-Pensacola (Ft. Walton Beach), FL",Mobile,20,,,,,1513350,60000,https://www.mawss.com/water-quality,approximate
"Monroe, LA-El Dorado, AR",Monroe,140,,,,,428250,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Monterey-Salinas, CA",Monterey,320,,,,,577375,,https://dropconnect.com/water-hardness-in-california-cities/,approximate
"Montgomery-Selma, AL",Montgomery,150,,,,,622750,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Myrtle Beach-Florence, SC",Myrtle Beach,130,,,,,869150,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Nashville, TN",Nashville,120,,,,,2998500,84000,https://www.nashville.gov/departments/water/water-quality,approximate
"New Orleans, LA",New Orleans,120,,,,,1681975,63000,https://www.swbno.org/About/WaterQuality,approximate
"New York, NY",New York,31,,,,,18736275,96500,https://www.nyc.gov/site/dep/water/drinking-water-frequently-asked-questions.page,precise
"Norfolk-Portsmouth-Newport News, VA",Norfolk,47,,,,,1949925,80000,https://norfolk.gov/657/Water-Quality-Reports,precise
"North Platte, NE",North Platte,210,,,,,35925,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Odessa-Midland, TX",Odessa,250,,,,,423475,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Oklahoma City, OK",Oklahoma City,120,,,,,1906750,71000,https://www.okc.gov/departments/utilities/water-quality,approximate
"Omaha, NE",Omaha,210,,,,,1145200,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Orlando-Daytona Beach-Melbourne, FL",Orlando,129,,,,,4756050,76000,https://www.ouc.com/about/water-services/,precise
"Ottumwa, IA-Kirksville, MO",Ottumwa,130,,,,,117550,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL",Paducah,140,,,,,946300,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Palm Springs, CA",Palm Springs,200,,,,,417650,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Panama City, FL",Panama City,200,,,,,407750,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Parkersburg, WV",Parkersburg,130,,,,,151650,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Peoria-Bloomington, IL",Peoria,120,,,,,615675,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Philadelphia, PA",Philadelphia,150,,,,,7864800,87500,https://water.phila.gov/drinking-water/faq/,approximate
"Phoenix, AZ",Phoenix,250,,,,,5495500,84000,https://www.phoenix.gov/waterservices/waterquality,approximate
